0,0
0,0
1,1
1,754
2,2
2,2
3,3
3,3
4,4
4,4
5,1005
5,5
6,6
6,6
7,926
7,7
8,8
8,8
9,9
9,9
10,10
10,224
11,11
11,11
12,696
12,12
13,13
13,13
14,665
14,14
15,15
15,15
16,16
16,16
17,17
17,17
18,376
18,18
19,279
19,498
20,20
20,20
21,21
21,21
22,22
22,22
23,23
23,769
24,24
24,24
25,25
25,335
26,26
26,26
27,27
27,27
28,642
28,634
29,29
29,29
30,30
30,30
31,31
31,31
32,32
32,32
33,33
33,33
34,34
34,34
35,35
35,35
36,36
36,36
37,37
37,37
38,38
38,38
39,1065
39,39
40,40
40,481
41,41
41,41
42,42
42,42
43,43
43,43
44,44
44,44
45,45
45,45
46,46
46,46
47,47
47,47
48,227
48,48
49,156
49,49
50,50
50,692
51,51
51,51
52,52
52,52
53,53
53,33
54,54
54,54
55,1122
55,301
56,481
56,481
57,57
57,57
58,58
58,58
59,59
59,59
60,677
60,60
61,61
61,1050
62,725
62,1096
63,63
63,63
64,64
64,64
65,65
65,65
66,66
66,66
67,67
67,67
68,68
68,68
69,69
69,69
70,515
70,699
71,71
71,71
72,72
72,540
73,73
73,73
74,215
74,74
75,75
75,978
76,76
76,302
77,77
77,77
78,78
78,78
79,79
79,79
80,80
80,80
81,81
81,81
82,82
82,82
83,657
83,83
84,84
84,84
85,85
85,85
86,86
86,86
87,87
87,87
88,88
88,88
89,89
89,89
90,516
90,90
91,91
91,91
92,92
92,92
93,93
93,93
94,94
94,94
95,95
95,95
96,96
96,96
97,97
97,97
98,98
98,98
99,99
99,99
100,100
100,100
101,701
101,101
102,429
102,80
103,103
103,103
104,104
104,104
105,105
105,105
106,106
106,106
107,107
107,301
108,1127
108,108
109,109
109,109
110,110
110,110
111,111
111,111
112,414
112,112
113,113
113,113
114,1170
114,114
115,115
115,115
116,116
116,116
117,1021
117,838
118,128
118,118
119,119
119,119
120,120
120,120
121,121
121,121
122,122
122,122
123,123
123,123
124,124
124,124
125,125
125,125
126,224
126,79
127,127
127,127
128,128
128,128
129,129
129,129
130,130
130,130
131,131
131,961
132,132
132,132
133,133
133,133
134,134
134,134
135,159
135,135
136,136
136,136
137,137
137,137
138,138
138,138
139,139
139,139
140,140
140,140
141,1117
141,55
142,142
142,142
143,143
143,143
144,144
144,144
145,717
145,103
146,146
146,146
147,147
147,147
148,148
148,148
149,37
149,37
150,150
150,150
151,151
151,249
152,152
152,152
153,153
153,153
154,154
154,154
155,234
155,155
156,156
156,156
157,157
157,157
158,158
158,158
159,159
159,159
160,160
160,160
161,161
161,161
162,162
162,988
163,163
163,163
164,164
164,818
165,165
165,165
166,166
166,166
167,167
167,841
168,168
