0,0,0,465,152,990,206
0,0,0,831,465,387,1150
1,1,1,950,39,495,1065
1,754,754,259,163,483,806
2,2,2,571,305,647,193
2,2,2,571,305,520,193
3,3,3,785,29,613,776
3,3,3,29,785,877,776
4,4,4,202,903,881,759
4,4,4,202,881,903,93
5,1005,1005,302,862,438,5
5,5,5,858,862,525,224
6,6,6,833,687,855,568
6,6,6,391,687,833,855
7,926,926,267,7,389,1055
7,7,7,628,47,271,375
8,8,8,240,1062,506,837
8,8,8,240,837,506,1062
9,9,9,195,420,558,27
9,9,9,195,583,786,856
10,10,10,370,365,103,145
10,224,224,10,370,353,145
11,11,11,570,1027,216,244
11,11,11,570,385,565,318
12,696,696,557,12,185,838
12,12,12,696,490,728,383
13,13,13,369,974,443,889
13,13,13,250,369,1070,848
14,665,665,150,14,820,687
14,14,14,955,1088,413,716
15,15,15,1080,1133,406,718
15,15,15,1080,1133,406,1119
16,16,16,392,1070,910,605
16,16,16,1070,910,605,923
17,17,17,971,105,1060,1104
17,17,17,971,163,259,1015
18,376,376,378,61,18,753
18,18,18,376,568,356,61
19,279,279,19,1057,49,156
19,498,498,683,904,839,585
20,20,20,162,907,0,444
20,20,20,162,444,907,1067
21,21,21,902,789,124,537
21,21,21,930,865,1014,386
22,22,22,276,396,795,349
22,22,22,396,591,419,276
23,23,23,1163,900,1148,408
23,769,769,57,45,338,334
24,24,24,1032,849,846,1083
24,24,24,987,1000,303,1003
25,25,25,278,817,335,480
25,335,335,25,790,278,817
26,26,26,930,865,818,1112
26,26,26,930,506,924,303
27,27,27,384,116,420,195
27,27,27,420,384,776,1031
28,642,642,839,438,433,276
28,634,634,418,626,428,28
29,29,29,3,294,726,236
29,29,29,294,1171,3,726
30,30,30,993,804,75,824
30,30,30,297,811,391,270
31,31,31,472,86,397,359
31,31,31,359,214,397,33
32,32,32,472,1119,214,956
32,32,32,472,1119,214,420
33,33,33,496,585,1119,214
33,33,33,496,1085,719,956
34,34,34,167,200,69,470
34,34,34,491,300,211,894
35,35,35,893,573,1071,441
35,35,35,893,1071,441,573
36,36,36,1144,971,1165,131
36,36,36,1165,971,524,1144
37,37,37,301,1117,1122,149
37,37,37,1117,149,301,517
38,38,38,876,330,18,398
38,38,38,967,876,717,457
39,1065,1065,39,1128,1058,1
39,39,39,953,1058,253,950
40,40,40,56,481,799,701
40,481,481,40,1087,799,701
41,41,41,49,280,108,313
41,41,41,49,108,1100,280
